Rk,Player,PTS,Season,Team,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Class,Player-additional
36,Quincy Olivari,651,2023-24,Xavier,34,34,1095,198,466,92,207,106,259,149,183,17,172,189,72,46,2,53,75,651,0.425,0.444,0.409,0.814,0.589,0.539,G,JR,quincy-olivari-1
37,Devin Carter,650,2023-24,Providence,33,33,1165,219,463,135,240,84,223,128,171,33,253,286,120,58,32,89,63,650,0.473,0.563,0.377,0.749,0.597,0.564,G,JR,devin-carter-3
38,Jason Edwards,650,2023-24,North Texas,34,22,1108,214,504,130,264,84,240,138,171,5,76,81,47,28,4,77,49,650,0.425,0.492,0.35,0.807,0.555,0.508,G,SO,jason-edwards-3
39,Caleb Love,648,2023-24,Arizona,36,36,1161,218,528,126,251,92,277,120,143,25,147,172,122,42,11,74,41,648,0.413,0.502,0.332,0.839,0.544,0.5,G,SR,caleb-love-1
40,Baylor Scheierman,647,2023-24,Creighton,35,35,1287,219,489,109,200,110,289,99,113,26,289,315,138,32,5,78,58,647,0.448,0.545,0.381,0.876,0.596,0.56,G,SR,baylor-scheierman-1
41,Boo Buie,646,2023-24,Northwestern,34,34,1253,215,491,126,286,89,205,127,148,20,93,113,171,49,2,77,89,646,0.438,0.441,0.434,0.858,0.575,0.529,G,SR,boo-buie-1
42,Dillon Jones,644,2023-24,Weber State,31,31,1146,215,440,181,335,34,105,180,210,25,280,305,162,61,3,94,70,644,0.489,0.54,0.324,0.857,0.597,0.527,F,SR,dillon-jones-1
43,Robbie Avila,644,2023-24,Indiana State,37,37,1156,224,418,163,263,61,155,135,167,44,199,243,150,25,24,66,97,644,0.536,0.62,0.394,0.808,0.647,0.609,C,SO,robbie-avila-1
44,Walter Clayton Jr.,633,2023-24,Florida,36,36,1114,202,468,109,213,93,255,136,155,17,111,128,93,38,22,80,86,633,0.432,0.512,0.365,0.877,0.584,0.531,G,JR,walter-claytonjr-1
45,Saint Thomas,631,2023-24,Northern Colorado,32,32,1112,224,475,159,278,65,197,118,136,58,257,315,133,53,28,97,82,631,0.472,0.572,0.33,0.868,0.585,0.54,F,JR,saint-thomas-1
46,Chaz Lanier,629,2023-24,North Florida,32,31,1068,214,420,108,179,106,241,95,108,22,130,152,57,30,9,52,48,629,0.51,0.603,0.44,0.88,0.667,0.636,G,JR,chaz-lanier-1
47,Ryan Conwell,629,2023-24,Indiana State,38,38,1290,204,423,95,155,109,268,112,131,29,191,220,95,41,10,65,105,629,0.482,0.613,0.407,0.855,0.648,0.611,G,SO,ryan-conwell-1
48,Sebastian Thomas,627,2023-24,Albany (NY),32,32,1133,218,506,168,336,50,170,141,182,35,99,134,156,62,8,90,73,627,0.431,0.5,0.294,0.775,0.529,0.48,G,JR,sebastian-thomas-1
49,Tyson Walker,625,2023-24,Michigan State,34,34,1121,238,530,174,360,64,170,85,114,19,78,97,96,64,4,46,62,625,0.449,0.483,0.376,0.746,0.535,0.509,G,SR,tyson-walker-1
50,Anthony Dell'Orso,624,2023-24,Campbell,32,31,1068,224,455,175,326,49,129,127,157,32,175,207,60,51,15,76,46,624,0.492,0.537,0.38,0.809,0.589,0.546,G,SO,anthony-dellorso-1
51,Trey Townsend,621,2023-24,Oakland,36,36,1310,220,484,208,452,12,32,169,217,77,214,291,111,48,12,91,47,621,0.455,0.46,0.375,0.779,0.529,0.467,F,SR,trey-townsend-1
52,De'Sean Allen-Eikens,620,2023-24,Cal State Northridge,33,33,1111,209,434,174,337,35,97,167,225,63,113,176,75,34,7,105,82,620,0.482,0.516,0.361,0.742,0.573,0.522,G,SR,desean-allen-eikens-1
53,Great Osobor,620,2023-24,Utah State,35,35,1177,218,378,215,364,3,14,181,284,94,221,315,99,47,50,98,86,620,0.577,0.591,0.214,0.637,0.604,0.581,F,JR,great-osobor-1
54,Kameron Jones,620,2023-24,Marquette,36,36,1046,235,469,140,235,95,234,55,76,16,88,104,87,41,2,49,72,620,0.501,0.596,0.406,0.724,0.614,0.602,G,JR,kam-jones-1
55,AJ McKee,619,2023-24,Queens (NC),33,33,1040,215,481,153,289,62,192,127,173,34,97,131,80,57,10,62,78,619,0.447,0.529,0.323,0.734,0.55,0.511,G,JR,aj-mckee-1
56,Johnell Davis,618,2023-24,Florida Atlantic,34,34,1095,214,443,156,303,58,140,132,154,47,166,213,100,49,7,97,96,618,0.483,0.515,0.414,0.857,0.599,0.549,G,SR,johnell-davis-1
57,Terrence Edwards,618,2023-24,James Madison,36,36,1092,203,475,157,341,46,134,166,205,43,115,158,123,34,11,88,47,618,0.427,0.46,0.343,0.81,0.54,0.476,G,JR,terrence-edwards-2
58,Trey Alexander,615,2023-24,Creighton,35,35,1304,232,520,170,337,62,183,89,108,18,183,201,165,38,15,86,61,615,0.446,0.504,0.339,0.824,0.538,0.506,G,JR,trey-alexander-1
59,Branden Carlson,613,2023-24,Utah,36,36,1067,232,463,168,294,64,169,85,119,53,183,236,57,13,54,54,69,613,0.501,0.571,0.379,0.714,0.59,0.57,C,SR,branden-carlson-1
60,Hunter Sallis,613,2023-24,Wake Forest,34,34,1204,224,460,149,275,75,185,90,115,22,116,138,86,37,19,65,62,613,0.487,0.542,0.405,0.783,0.596,0.568,G,JR,hunter-sallis-1
61,Issac McBride,613,2023-24,Oral Roberts,31,31,1199,205,458,140,293,65,165,138,155,13,97,110,97,29,2,53,51,613,0.448,0.478,0.394,0.89,0.577,0.519,G,SR,issac-mcbride-1
62,Jacob Crews,612,2023-24,UT Martin,32,32,1066,206,425,117,210,89,215,111,136,65,198,263,34,26,15,42,49,612,0.485,0.557,0.414,0.816,0.625,0.589,G,JR,jacob-crews-1
63,Blake Hinson,609,2023-24,Pittsburgh,33,33,1109,201,443,91,182,110,261,97,145,31,115,146,26,18,5,42,72,609,0.454,0.5,0.421,0.669,0.595,0.578,G,SR,blake-hinson-1
64,Cameron Tyson,609,2023-24,Seattle,34,34,1089,200,486,83,189,117,297,92,105,16,128,144,48,24,1,59,73,609,0.412,0.439,0.394,0.876,0.568,0.532,G,SR,cameron-tyson-1
65,Matt Balanc,609,2023-24,Quinnipiac,34,34,1128,200,469,114,229,86,240,123,142,31,129,160,43,28,7,49,73,609,0.426,0.498,0.358,0.866,0.568,0.518,G,SR,matt-balanc-1
66,Dion Brown,607,2023-24,UMBC,32,32,1030,246,486,201,357,45,129,70,92,85,158,243,82,42,15,99,88,607,0.506,0.563,0.349,0.761,0.573,0.552,G,SO,dion-brown-3
67,Jaylon Tyson,607,2023-24,California,31,30,1062,222,477,172,338,50,139,113,142,51,159,210,107,37,15,96,66,607,0.465,0.509,0.36,0.796,0.557,0.518,G,JR,jaylon-tyson-1
68,Trey Calvin,607,2023-24,Wright State,31,31,1096,212,440,150,285,62,155,121,135,9,65,74,131,46,4,62,70,607,0.482,0.526,0.4,0.896,0.602,0.552,G,SR,trey-calvin-1
69,Aanen Moody,606,2023-24,Montana,36,36,1204,228,463,141,240,87,223,63,72,11,112,123,83,34,3,62,77,606,0.492,0.588,0.39,0.875,0.609,0.586,G,SR,aanen-moody-1
70,Erik Reynolds II,606,2023-24,Saint Joseph's,35,35,1215,193,459,81,164,112,295,108,124,12,84,96,93,41,6,50,66,606,0.42,0.494,0.38,0.871,0.585,0.542,G,JR,erik-reynoldsii-1
71,Mervin James,606,2023-24,Rider,32,31,1021,223,430,202,385,21,45,139,164,65,130,195,61,31,29,89,96,606,0.519,0.525,0.467,0.848,0.597,0.543,F,SR,mervin-james-1
72,AJ Storr,605,2023-24,Wisconsin,36,36,1038,216,498,168,348,48,150,125,154,40,102,142,32,22,5,57,41,605,0.434,0.483,0.32,0.812,0.53,0.482,G,SO,aj-storr-1
73,Bryce Pope,605,2023-24,UC San Diego,33,33,1174,214,512,140,289,74,223,103,126,24,104,128,64,33,6,43,32,605,0.418,0.484,0.332,0.817,0.529,0.49,G,SR,bryce-pope-1
74,Jarod Lucas,605,2023-24,Nevada,34,34,1108,182,432,102,229,80,203,161,179,17,78,95,48,27,0,32,48,605,0.421,0.445,0.394,0.899,0.585,0.514,G,SR,jarod-lucas-1
75,Ryan Kalkbrenner,604,2023-24,Creighton,35,35,1214,241,373,225,319,16,54,106,149,88,178,266,44,13,107,52,66,604,0.646,0.705,0.296,0.711,0.681,0.668,C,SR,ryan-kalkbrenner-1
76,Marcus Domask,603,2023-24,Illinois,38,38,1312,216,477,175,339,41,138,130,149,42,148,190,150,14,13,89,50,603,0.453,0.516,0.297,0.872,0.55,0.496,F,SR,marcus-domask-1
77,Tristen Newton,603,2023-24,Connecticut,40,40,1327,182,439,111,218,71,221,168,208,57,206,263,248,37,12,98,70,603,0.415,0.509,0.321,0.808,0.561,0.495,G,SR,tristen-newton-1
78,Clarence Daniels,602,2023-24,New Hampshire,31,31,1017,207,452,154,306,53,146,135,168,46,251,297,13,42,16,77,52,602,0.458,0.503,0.363,0.804,0.566,0.517,F,SR,clarence-daniels-1
79,David Coit,602,2023-24,Northern Illinois,29,29,1072,200,492,106,213,94,279,108,122,9,84,93,98,27,6,70,40,602,0.407,0.498,0.337,0.885,0.547,0.502,G,JR,david-coit-1
80,Judah Mintz,602,2023-24,Syracuse,32,31,1084,188,429,164,344,24,85,202,264,15,88,103,142,67,4,94,70,602,0.438,0.477,0.282,0.765,0.543,0.466,G,SO,judah-mintz-1
81,Ken Evans,601,2023-24,Jackson State,32,32,1141,189,463,127,305,62,158,161,206,40,134,174,93,41,7,93,59,601,0.408,0.416,0.392,0.782,0.536,0.475,G,JR,ken-evans-1
82,Josh Hubbard,598,2023-24,Mississippi State,35,16,971,184,478,76,174,108,304,122,143,9,67,76,61,24,4,42,48,598,0.385,0.437,0.355,0.853,0.548,0.498,G,FR,josh-hubbard-1
83,Jermaine Couisnard,597,2023-24,Oregon,36,36,1184,199,498,126,287,73,211,126,167,40,124,164,120,56,7,60,78,597,0.4,0.439,0.346,0.754,0.517,0.473,G,SR,jermaine-couisnard-1
84,Jordan King,595,2023-24,Richmond,33,33,1162,200,441,116,238,84,203,111,136,15,112,127,84,43,2,59,58,595,0.454,0.487,0.414,0.816,0.588,0.549,G,SR,jordan-king-1
85,Quinten Post,595,2023-24,Boston College,35,35,1115,222,432,172,316,50,116,101,123,71,213,284,100,30,61,86,100,595,0.514,0.544,0.431,0.821,0.607,0.572,F,SR,quinten-post-1
86,Trazarien White,593,2023-24,UNC Wilmington,30,20,907,202,410,179,351,23,59,166,232,59,145,204,48,24,13,74,63,593,0.493,0.51,0.39,0.716,0.57,0.521,F,JR,trazarien-white-1
87,Caleb Fields,592,2023-24,Fairfield,35,33,1235,202,463,89,172,113,291,75,104,35,107,142,93,50,3,45,49,592,0.436,0.517,0.388,0.721,0.578,0.558,G,SR,caleb-fields-1
88,Hunter Dickinson,591,2023-24,Kansas,33,33,1063,250,456,227,391,23,65,68,109,85,276,361,76,31,47,58,74,591,0.548,0.581,0.354,0.624,0.582,0.573,C,SR,hunter-dickinson-1
89,Kyle Filipowski,591,2023-24,Duke,36,36,1095,220,436,181,324,39,112,112,167,80,218,298,100,41,54,76,109,591,0.505,0.559,0.348,0.671,0.573,0.549,C,SO,kyle-filipowski-1
90,Robert McCray V,589,2023-24,Jacksonville,32,30,981,212,422,158,271,54,151,111,155,38,95,133,94,41,5,79,77,589,0.502,0.583,0.358,0.716,0.594,0.566,G,SO,robert-mccray-1
91,Shahada Wells,589,2023-24,McNeese State,33,33,1076,205,444,157,319,48,125,131,165,29,120,149,155,98,10,66,46,589,0.462,0.492,0.384,0.794,0.564,0.516,G,SR,shahada-wells-1
92,Darlinstone Dubar,588,2023-24,Hofstra,33,33,1143,223,414,150,231,73,183,69,94,52,172,224,47,39,31,47,56,588,0.539,0.649,0.399,0.734,0.641,0.627,G,SR,darlinstone-dubar-1
93,Isaiah Swope,587,2023-24,Indiana State,37,37,1235,205,473,92,161,113,312,64,87,9,103,112,79,48,1,66,79,587,0.433,0.571,0.362,0.736,0.571,0.553,G,JR,isaiah-swope-1
94,Tyson Acuff,586,2023-24,Eastern Michigan,27,27,1024,219,506,170,338,49,168,99,122,13,83,96,76,31,4,55,46,586,0.433,0.503,0.292,0.811,0.52,0.481,G,SR,tyson-acuff-1
95,James Bishop IV,585,2023-24,George Washington,32,32,1132,183,469,112,278,71,191,148,179,11,77,88,137,20,12,96,54,585,0.39,0.403,0.372,0.827,0.528,0.466,G,SR,james-bishop-2
96,Kezza Giffa,584,2023-24,High Point,36,9,1071,146,359,96,212,50,147,242,274,12,92,104,104,20,4,94,82,584,0.407,0.453,0.34,0.883,0.597,0.476,G,JR,kezza-giffa-1
97,Ajay Mitchell,580,2023-24,UC Santa Barbara,29,29,913,195,387,162,303,33,84,157,183,7,110,117,115,34,11,74,74,580,0.504,0.535,0.393,0.858,0.612,0.547,G,JR,ajay-mitchell-1
98,Bryce Harris,580,2023-24,Howard,35,35,1105,204,373,177,301,27,72,145,196,101,163,264,58,38,37,58,84,580,0.547,0.588,0.375,0.74,0.622,0.583,G,JR,bryce-harris-1
99,Wesley Cardet Jr.,579,2023-24,Chicago State,31,31,1070,196,441,152,313,44,128,143,199,45,93,138,80,28,16,90,47,579,0.444,0.486,0.344,0.719,0.541,0.494,G,JR,wesley-cardetjr-1
100,Duke Miles,577,2023-24,High Point,33,27,1010,210,398,166,276,44,122,113,141,4,76,80,118,44,5,65,87,577,0.528,0.601,0.361,0.801,0.62,0.583,G,SR,duke-miles-1
101,Markus Burton,577,2023-24,Notre Dame,33,33,1114,210,499,168,359,42,140,115,140,21,89,110,143,63,7,123,95,577,0.421,0.468,0.3,0.821,0.51,0.463,G,FR,markus-burton-1
102,Graham Ike,576,2023-24,Gonzaga,35,35,843,232,381,225,362,7,19,105,134,82,176,258,33,21,23,55,98,576,0.609,0.622,0.368,0.784,0.648,0.618,F,JR,graham-ike-1
103,Isaiah Stevens,576,2023-24,Colorado State,36,36,1252,209,441,143,291,66,150,92,110,17,98,115,245,43,6,85,52,576,0.474,0.491,0.44,0.836,0.584,0.549,G,SR,isaiah-stevens-1
104,Johni Broome,576,2023-24,Auburn,35,34,868,218,398,190,319,28,79,112,182,86,213,299,77,31,78,56,84,576,0.548,0.596,0.354,0.615,0.594,0.583,F,SR,johni-broome-1
105,Honor Huff,575,2023-24,Chattanooga,33,33,1135,180,415,71,128,109,287,106,128,6,83,89,87,55,2,44,46,575,0.434,0.555,0.38,0.828,0.604,0.565,G,SO,honor-huff-1
106,Hysier Miller,574,2023-24,Temple,36,36,1309,194,550,117,288,77,262,109,143,24,106,130,145,64,6,74,101,574,0.353,0.406,0.294,0.762,0.464,0.423,G,JR,hysier-miller-1
107,Sherif Gross-Bullock,574,2023-24,Bryant,32,32,1108,193,445,109,208,84,237,104,141,14,153,167,84,32,14,107,97,574,0.434,0.524,0.354,0.738,0.561,0.528,G,SR,sherif-kenney-1
108,Cam Spencer,573,2023-24,Connecticut,40,40,1318,196,405,97,180,99,225,82,90,42,152,194,145,59,10,40,86,573,0.484,0.539,0.44,0.911,0.64,0.606,G,SR,cam-spencer-1
109,LJ Cryer,573,2023-24,Houston,37,37,1187,200,487,88,198,112,289,61,70,24,64,88,70,39,4,35,63,573,0.411,0.444,0.388,0.871,0.551,0.526,G,SR,lj-cryer-1
110,Kaleb Higgins,572,2023-24,Cal State Bakersfield,32,32,1019,208,487,167,346,41,141,115,131,18,72,90,117,35,0,63,59,572,0.427,0.483,0.291,0.878,0.521,0.469,G,SR,kaleb-higgins-1
111,Kobe Julien,572,2023-24,Louisiana,33,33,1041,194,435,141,272,53,163,131,159,38,120,158,41,36,22,72,93,572,0.446,0.518,0.325,0.824,0.56,0.507,F,SR,kobe-julien-1
112,Kyky Tandy,571,2023-24,Jacksonville State,32,32,1008,190,454,106,238,84,216,107,121,13,69,82,44,36,4,73,52,571,0.419,0.445,0.389,0.884,0.558,0.511,G,SR,kyky-tandy-1
113,BJ Freeman,570,2023-24,Milwaukee,27,22,869,189,448,123,260,66,188,126,153,33,146,179,111,29,12,98,47,570,0.422,0.473,0.351,0.824,0.547,0.496,G,JR,bj-freeman-1
114,Max Abmas,570,2023-24,Texas,34,34,1193,194,456,102,202,92,254,90,100,12,93,105,140,32,3,77,74,570,0.425,0.505,0.362,0.9,0.566,0.526,G,SR,max-abmas-1
115,RJ Felton,570,2023-24,East Carolina,33,33,1137,201,466,131,269,70,197,98,126,67,130,197,43,59,21,46,67,570,0.431,0.487,0.355,0.778,0.542,0.506,G,JR,rj-felton-1
116,TY Johnson,569,2023-24,UC Davis,32,30,974,188,424,153,315,35,109,158,205,19,98,117,104,58,3,94,74,569,0.443,0.486,0.321,0.771,0.546,0.485,G,JR,ty-johnson-3
117,Kobe Sanders,568,2023-24,Cal Poly,29,29,975,178,388,140,276,38,112,174,199,25,83,108,92,24,10,85,81,568,0.459,0.507,0.339,0.874,0.589,0.508,G,SR,kobe-sanders-1
118,Michael Ajayi,568,2023-24,Pepperdine,33,33,1145,206,441,167,358,39,83,117,165,76,250,326,63,31,16,67,83,568,0.467,0.466,0.47,0.709,0.547,0.511,G,JR,michael-ajayi-1
119,Robert Ford III,567,2023-24,Montana State,35,35,1182,185,380,101,189,84,191,113,144,35,231,266,106,100,7,82,102,567,0.487,0.534,0.44,0.785,0.632,0.597,G,SR,robert-fordiii-1
120,Desmond Claude,566,2023-24,Xavier,34,34,1148,204,479,177,366,27,113,131,165,33,109,142,110,36,10,76,72,566,0.426,0.484,0.239,0.794,0.508,0.454,G,SO,desmond-claude-1
121,Eric Dixon,566,2023-24,Villanova,34,34,1039,193,415,138,256,55,159,125,145,71,151,222,57,28,15,60,66,566,0.465,0.539,0.346,0.862,0.585,0.531,F,SR,eric-dixon-1
122,Jalen Jackson,566,2023-24,Purdue Fort Wayne,36,36,1089,196,394,155,294,41,100,133,187,20,145,165,91,57,14,70,84,566,0.497,0.527,0.41,0.711,0.586,0.549,G,SO,jalen-jackson-4
123,Kino Lilly Jr.,564,2023-24,Brown,30,30,1142,197,499,107,235,90,264,80,98,9,64,73,107,24,5,81,41,564,0.395,0.455,0.341,0.816,0.517,0.485,G,JR,kino-lillyjr-1
124,Sy Chatman,563,2023-24,Buffalo,31,31,1013,204,449,167,305,37,144,118,170,40,159,199,41,34,49,85,79,563,0.454,0.548,0.257,0.694,0.531,0.496,F,SR,sy-chatman-1
125,Jordan Pope,562,2023-24,Oregon State,32,32,1140,201,446,135,268,66,178,94,107,20,62,82,109,21,3,72,42,562,0.451,0.504,0.371,0.879,0.566,0.525,G,SO,jordan-pope-1
126,Basheer Jihad,559,2023-24,Ball State,30,30,981,176,390,136,277,40,113,167,223,59,180,239,55,33,34,102,94,559,0.451,0.491,0.354,0.749,0.564,0.503,F,JR,basheer-jihad-1
127,Dae Dae Grant,559,2023-24,Duquesne,34,32,1116,165,428,82,180,83,248,146,155,29,87,116,83,33,4,43,67,559,0.386,0.456,0.335,0.942,0.557,0.482,G,SR,daedae-grant-1
128,Malik Dia,559,2023-24,Belmont,33,24,763,210,430,166,301,44,129,95,149,47,146,193,39,27,26,89,78,559,0.488,0.551,0.341,0.638,0.558,0.54,F,SO,malik-dia-1
129,Tyler Robertson,559,2023-24,Portland,33,33,1176,201,445,134,265,67,180,90,111,30,117,147,126,26,5,77,65,559,0.452,0.506,0.372,0.811,0.562,0.527,G,SR,tyler-robertson-1
130,Jamarii Thomas,557,2023-24,Norfolk State,33,30,1025,155,384,103,247,52,137,195,241,24,101,125,125,69,3,79,81,557,0.404,0.417,0.38,0.809,0.559,0.471,G,JR,jamarii-thomas-1
131,Colby Rogers,556,2023-24,Wichita State,34,34,1190,190,475,91,233,99,242,77,93,18,99,117,64,35,10,54,62,556,0.4,0.391,0.409,0.828,0.535,0.504,G,JR,colby-rogers-1
132,Payton Sandfort,556,2023-24,Iowa,34,34,1037,180,404,86,156,94,248,102,112,41,183,224,91,24,14,45,85,556,0.446,0.551,0.379,0.911,0.608,0.562,G,JR,payton-sandfort-1
133,Jimmy Clark III,555,2023-24,Duquesne,37,37,1146,193,465,126,263,67,202,102,143,23,100,123,142,87,11,102,90,555,0.415,0.479,0.332,0.713,0.521,0.487,G,SR,jimmy-clarkiii-1
