,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
41,Wendell Moore Jr.,2020-21,Duke,ACC,SO,24.0,18.0,27.6,3.6,8.6,0.417,2.7,5.5,0.481,0.9,3.0,0.301,1.6,1.9,0.848,1.2,3.5,4.8,2.7,1.2,0.2,2.0,2.4,9.7,,8.33,,,,,,
42,Wendell Moore Jr.,2021-22,Duke,ACC,JR,39.0,39.0,33.9,4.8,9.6,0.5,3.5,6.4,0.544,1.3,3.2,0.413,2.4,3.0,0.805,1.2,4.1,5.3,4.4,1.4,0.2,1.9,1.6,13.4,,7.26,,,,,,
43,Patrick Baldwin Jr.,2021-22,Milwaukee,Horizon,FR,11.0,10.0,28.5,4.1,11.9,0.344,2.5,6.1,0.418,1.5,5.8,0.266,2.4,3.2,0.743,0.9,4.9,5.8,1.5,0.8,0.8,2.1,1.5,12.1,,-6.32,,,,,,
44,TyTy Washington Jr.,2021-22,Kentucky,SEC,FR,31.0,29.0,29.2,4.9,10.9,0.451,3.7,7.5,0.496,1.2,3.3,0.35,1.5,2.1,0.75,0.6,2.8,3.5,3.9,1.3,0.2,1.6,1.5,12.5,,8.02,,,,,,
45,Peyton Watson,2021-22,UCLA,Pac-12,FR,32.0,0.0,12.7,1.2,3.7,0.322,1.0,2.7,0.356,0.2,1.0,0.226,0.7,1.0,0.688,0.9,2.0,2.9,0.8,0.6,0.6,0.9,1.6,3.3,,8.36,,,,,,
46,Andrew Nembhard,2018-19,Florida,SEC,FR,36.0,36.0,32.9,2.9,7.1,0.414,2.0,4.3,0.458,1.0,2.8,0.347,1.2,1.5,0.764,0.2,2.7,2.9,5.4,1.2,0.1,2.1,1.7,8.0,,11.22,,,,,,
47,Andrew Nembhard,2019-20,Florida,SEC,SO,31.0,31.0,33.2,4.2,9.5,0.441,3.2,6.2,0.513,1.0,3.4,0.308,1.8,2.3,0.775,0.1,2.9,3.0,5.6,1.1,0.1,2.6,1.5,11.2,,9.1,,,,,,
48,Andrew Nembhard,2020-21,Gonzaga,WCC,JR,32.0,16.0,29.9,3.4,7.1,0.48,2.4,4.0,0.602,1.0,3.1,0.323,1.3,1.8,0.754,0.2,2.2,2.4,4.4,1.1,0.1,1.2,1.8,9.2,,5.92,,,,,,
49,Andrew Nembhard,2021-22,Gonzaga,WCC,SR,32.0,32.0,32.2,4.4,9.7,0.452,2.8,5.5,0.503,1.6,4.2,0.383,1.5,1.7,0.873,0.4,2.9,3.4,5.8,1.6,0.1,1.9,2.0,11.8,,4.5,,,,,,
50,Caleb Houstan,2021-22,Michigan,Big Ten,FR,34.0,34.0,32.0,3.2,8.4,0.384,1.4,3.4,0.426,1.8,5.0,0.355,1.9,2.4,0.783,0.8,3.2,4.0,1.4,0.7,0.2,1.5,1.7,10.1,,11.02,,,,,,
