,Player,Season,School,Conf,Class,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,SOS,Rk,PTS.1,TS%,eFG%,Pos,Player-additional
2245,Ryan Gomes,2003-04,Providence,Big East,JR,29.0,29.0,34.8,6.6,13.1,0.507,5.6,10.1,0.558,1.0,3.0,0.333,4.6,5.3,0.87,3.8,5.7,9.4,2.3,1.6,0.1,2.6,2.1,18.9,,8.21,,,,,,
2246,Ryan Gomes,2004-05,Providence,Big East,SR,31.0,31.0,37.5,8.0,16.1,0.496,6.3,11.6,0.54,1.7,4.4,0.38,4.0,5.2,0.77,2.8,5.5,8.2,3.2,1.5,0.2,2.5,1.6,21.6,,8.87,,,,,,
2247,Robert Whaley,2003-04,Cincinnati,CUSA,JR,22.0,3.0,13.0,2.2,6.3,0.348,2.2,6.2,0.35,0.0,0.0,0.0,1.4,2.1,0.66,1.0,1.4,2.5,0.6,0.3,0.4,1.1,2.1,5.8,,6.28,,,,,,
2248,Orien Greene,2000-01,Florida,SEC,FR,31.0,2.0,19.1,1.1,3.2,0.354,0.7,1.5,0.468,0.4,1.7,0.25,0.7,0.9,0.75,0.4,1.9,2.3,2.7,1.2,0.4,1.7,2.4,3.4,,7.55,,,,,,
2249,Orien Greene,2001-02,Florida,SEC,SO,31.0,30.0,23.8,2.0,4.7,0.434,1.4,2.5,0.544,0.6,2.1,0.303,0.5,0.7,0.636,1.0,1.8,2.8,2.9,2.0,0.2,1.6,2.6,5.2,,8.37,,,,,,
2250,Orien Greene,2002-03,,,Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2251,Orien Greene,2003-04,Louisiana,Sun Belt,JR,18.0,3.0,25.8,3.8,8.3,0.453,2.1,3.7,0.567,1.7,4.6,0.361,1.2,1.8,0.688,1.1,3.4,4.6,3.0,2.2,0.3,2.2,3.3,10.4,,0.42,,,,,,
2252,Orien Greene,2004-05,Louisiana,Sun Belt,SR,24.0,23.0,32.3,3.8,9.9,0.388,2.4,5.5,0.443,1.4,4.4,0.321,2.6,3.4,0.756,1.4,3.3,4.7,4.1,2.8,0.3,3.5,3.0,11.7,,1.9,,,,,,
2253,Dijon Thompson,2001-02,UCLA,Pac-10,FR,33.0,1.0,15.0,1.7,4.0,0.429,1.3,2.6,0.518,0.4,1.5,0.271,0.6,0.7,0.87,0.7,1.5,2.2,1.1,0.8,0.3,1.2,1.2,4.5,,10.78,,,,,,
2254,Dijon Thompson,2002-03,UCLA,Pac-10,SO,28.0,17.0,29.6,5.5,11.1,0.497,4.5,8.4,0.538,1.0,2.7,0.368,2.0,2.6,0.743,1.9,2.8,4.7,2.8,1.5,0.5,2.9,2.2,14.0,,9.75,,,,,,
2255,Dijon Thompson,2003-04,UCLA,Pac-10,JR,28.0,27.0,34.3,5.2,12.0,0.435,3.5,7.4,0.466,1.8,4.6,0.383,2.2,2.8,0.782,1.1,3.2,4.3,2.3,0.9,0.1,2.6,1.8,14.4,,6.82,,,,,,
2256,Dijon Thompson,2004-05,UCLA,Pac-10,SR,28.0,27.0,34.6,6.5,13.8,0.474,5.0,9.7,0.517,1.5,4.1,0.374,3.8,4.9,0.787,1.9,6.1,7.9,2.3,1.5,0.3,3.3,2.2,18.4,,7.08,,,,,,
2257,Lawrence Roberts,2001-02,Baylor,Big 12,FR,30.0,29.0,28.6,5.8,13.0,0.445,4.9,10.4,0.474,0.9,2.6,0.329,4.1,6.1,0.678,3.1,5.2,8.2,1.3,1.7,1.3,1.9,2.7,16.6,,5.08,,,,,,
2258,Lawrence Roberts,2002-03,Baylor,Big 12,SO,26.0,26.0,32.2,5.1,12.2,0.421,4.7,10.5,0.445,0.4,1.6,0.262,4.6,6.7,0.684,4.0,6.5,10.4,1.5,1.7,1.1,2.3,2.6,15.2,,5.44,,,,,,
2259,Lawrence Roberts,2003-04,Mississippi State,SEC,JR,30.0,30.0,32.7,5.8,11.2,0.519,5.4,9.9,0.549,0.4,1.3,0.3,4.8,7.6,0.634,3.4,6.7,10.1,1.2,1.4,0.6,2.4,2.3,16.9,,6.08,,,,,,
2260,Lawrence Roberts,2004-05,Mississippi State,SEC,SR,32.0,32.0,32.0,5.3,11.9,0.448,5.0,10.7,0.466,0.4,1.3,0.293,5.9,9.0,0.653,3.4,7.5,11.0,1.9,1.6,0.8,2.7,2.2,16.9,,6.05,,,,,,
2261,Alex Acker,2002-03,Pepperdine,WCC,FR,28.0,23.0,33.3,4.6,9.6,0.476,3.5,7.2,0.493,1.0,2.4,0.426,2.8,3.5,0.814,1.5,3.5,5.0,0.9,1.4,0.4,2.7,1.6,13.0,,1.79,,,,,,
2262,Alex Acker,2003-04,Pepperdine,WCC,SO,29.0,26.0,32.4,4.8,10.6,0.45,3.7,7.6,0.482,1.1,3.0,0.368,2.9,3.7,0.794,1.8,3.6,5.3,3.8,1.8,0.4,2.5,2.2,13.6,,2.11,,,,,,
2263,Alex Acker,2004-05,Pepperdine,WCC,JR,31.0,31.0,37.2,5.9,13.1,0.45,4.0,8.7,0.459,1.9,4.4,0.431,2.9,3.4,0.858,1.4,5.1,6.5,3.7,1.3,0.5,2.6,1.9,16.6,,1.51,,,,,,
2264,Emeka Okafor,2001-02,UConn,Big East,FR,34.0,34.0,30.0,3.1,5.2,0.59,3.1,5.2,0.59,0.0,0.0,,1.7,2.7,0.62,2.6,6.4,9.0,0.8,0.8,4.1,1.4,2.6,7.9,,7.59,,,,,,
2265,Emeka Okafor,2002-03,UConn,Big East,SO,33.0,33.0,32.9,6.7,11.5,0.58,6.7,11.5,0.58,0.0,0.0,,2.5,4.2,0.599,3.8,7.4,11.2,0.5,0.9,4.7,2.3,3.0,15.9,,7.63,,,,,,
2266,Emeka Okafor,2003-04,UConn,Big East,JR,36.0,36.0,32.4,7.3,12.1,0.599,7.3,12.1,0.599,0.0,0.0,,3.1,6.1,0.518,3.8,7.7,11.5,1.0,1.0,4.1,2.3,2.4,17.6,,7.77,,,,,,
2267,Ben Gordon,2001-02,UConn,Big East,FR,34.0,2.0,24.8,4.1,9.3,0.444,2.3,4.9,0.473,1.8,4.4,0.413,2.5,3.4,0.726,0.6,2.1,2.7,3.1,1.0,0.2,2.4,2.4,12.6,,7.59,,,,,,
2268,Ben Gordon,2002-03,UConn,Big East,SO,33.0,33.0,33.4,6.4,14.4,0.443,4.0,8.6,0.46,2.4,5.8,0.419,4.3,5.4,0.808,0.9,3.3,4.2,4.7,1.2,0.2,3.4,2.2,19.5,,7.63,,,,,,
2269,Ben Gordon,2003-04,UConn,Big East,JR,39.0,39.0,34.5,6.1,14.1,0.434,3.5,8.0,0.434,2.7,6.2,0.433,3.6,4.4,0.829,0.9,3.8,4.7,4.5,1.4,0.2,2.8,2.3,18.5,,7.77,,,,,,
2270,Devin Harris,2001-02,Wisconsin,Big Ten,FR,32.0,32.0,34.2,3.7,8.8,0.413,1.8,3.8,0.475,1.8,5.0,0.366,3.2,4.1,0.777,0.6,2.7,3.3,1.8,1.3,0.6,1.7,2.1,12.3,,9.23,,,,,,
2271,Devin Harris,2002-03,Wisconsin,Big Ten,SO,32.0,32.0,34.4,4.1,8.9,0.463,2.5,4.6,0.534,1.7,4.3,0.387,2.8,3.7,0.756,0.8,3.8,4.6,3.1,2.0,0.6,1.6,2.2,12.7,,6.51,,,,,,
2272,Devin Harris,2003-04,Wisconsin,Big Ten,JR,32.0,32.0,36.3,5.9,12.9,0.459,3.6,6.6,0.54,2.3,6.3,0.373,5.3,6.8,0.792,0.6,3.7,4.3,4.4,1.8,0.1,2.1,1.9,19.5,,7.49,,,,,,
2273,Josh Childress,2001-02,Stanford,Pac-10,FR,30.0,6.0,21.5,3.1,7.8,0.402,2.4,5.1,0.468,0.7,2.7,0.275,0.8,1.2,0.694,1.5,3.3,4.8,0.8,0.6,0.4,1.1,1.8,7.8,,9.03,,,,,,
2274,Josh Childress,2002-03,Stanford,Pac-10,SO,33.0,33.0,34.2,5.1,11.9,0.427,3.6,7.5,0.482,1.5,4.4,0.333,2.5,3.5,0.719,2.2,5.8,8.1,2.1,1.2,1.4,2.0,2.2,14.1,,8.37,,,,,,
2275,Josh Childress,2003-04,Stanford,Pac-10,JR,23.0,18.0,29.8,5.4,11.0,0.488,3.9,7.3,0.536,1.5,3.7,0.395,3.4,4.1,0.821,1.9,5.6,7.5,2.7,0.9,1.6,2.2,2.3,15.7,,4.33,,,,,,
2276,Luol Deng,2003-04,Duke,ACC,FR,37.0,32.0,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,,10.86,,,,,,
2277,Rafael Araújo,2002-03,BYU,MWC,JR,32.0,32.0,25.1,4.8,8.7,0.558,4.8,8.3,0.569,0.1,0.3,0.273,2.2,3.4,0.642,2.8,6.1,8.9,1.2,1.4,0.5,3.0,3.7,12.0,,5.29,,,,,,
2278,Rafael Araújo,2003-04,BYU,MWC,SR,30.0,30.0,29.8,7.0,12.3,0.573,6.8,11.3,0.601,0.3,1.0,0.267,4.1,5.6,0.722,2.9,7.2,10.1,1.2,1.4,0.8,2.9,3.1,18.4,,6.31,,,,,,
2279,Andre Iguodala,2002-03,Arizona,Pac-10,FR,32.0,4.0,19.2,2.2,5.7,0.381,1.9,4.3,0.438,0.3,1.4,0.205,1.8,2.8,0.67,1.9,2.9,4.9,2.1,1.5,0.6,1.5,1.9,6.4,,8.95,,,,,,
2280,Andre Iguodala,2003-04,Arizona,Pac-10,SO,30.0,30.0,32.1,4.5,10.1,0.45,3.8,7.6,0.493,0.8,2.4,0.315,3.1,3.9,0.788,2.4,6.0,8.4,4.9,1.6,0.4,2.8,2.5,12.9,,6.63,,,,,,
2281,Luke Jackson,2000-01,Oregon,Pac-10,FR,28.0,6.0,18.1,2.6,6.1,0.424,2.0,4.4,0.451,0.6,1.8,0.36,1.9,2.6,0.74,1.2,2.9,4.1,2.0,0.8,0.3,1.7,1.9,7.8,,7.91,,,,,,
2282,Luke Jackson,2001-02,Oregon,Pac-10,SO,35.0,35.0,30.5,5.4,11.8,0.458,4.1,8.5,0.48,1.3,3.3,0.4,4.5,5.3,0.864,1.6,3.8,5.4,3.3,1.3,0.3,2.0,1.7,16.7,,6.94,,,,,,
2283,Luke Jackson,2002-03,Oregon,Pac-10,JR,32.0,30.0,31.8,5.4,12.0,0.452,4.3,8.8,0.484,1.2,3.2,0.363,4.1,4.7,0.867,2.2,4.8,6.9,3.6,1.7,0.3,2.7,2.0,16.0,,6.11,,,,,,
2284,Luke Jackson,2003-04,Oregon,Pac-10,SR,31.0,31.0,34.6,6.8,13.9,0.488,4.4,8.5,0.519,2.4,5.4,0.44,5.3,6.1,0.862,1.8,5.4,7.2,4.5,1.3,0.2,3.0,1.7,21.2,,6.9,,,,,,
2285,Kris Humphries,2003-04,Minnesota,Big Ten,FR,29.0,28.0,34.1,7.6,17.2,0.444,7.0,15.4,0.455,0.6,1.7,0.34,5.9,7.9,0.742,3.1,7.0,10.1,0.7,0.9,1.1,2.8,2.2,21.7,,5.36,,,,,,
2286,Kirk Snyder,2001-02,Nevada,WAC,FR,18.0,11.0,27.4,4.5,11.9,0.377,3.4,8.4,0.411,1.1,3.6,0.297,3.6,5.8,0.625,2.1,2.5,4.6,1.4,0.7,0.8,2.8,2.3,13.7,,1.88,,,,,,
2287,Kirk Snyder,2002-03,Nevada,WAC,SO,32.0,30.0,31.7,5.8,13.1,0.445,4.8,9.3,0.519,1.0,3.8,0.268,3.5,5.5,0.638,2.9,5.2,8.1,2.5,0.9,0.8,2.9,2.7,16.3,,2.06,,,,,,
2288,Kirk Snyder,2003-04,Nevada,WAC,JR,34.0,33.0,31.7,6.1,14.3,0.431,4.6,9.7,0.47,1.6,4.6,0.348,4.9,6.7,0.731,1.9,3.8,5.7,3.4,1.0,0.6,3.5,2.1,18.8,,5.82,,,,,,
2289,Jameer Nelson,2000-01,St. Joseph's,A-10,FR,33.0,33.0,33.8,4.0,8.6,0.461,2.7,5.3,0.517,1.2,3.3,0.373,3.3,4.0,0.82,0.7,3.4,4.0,6.5,1.7,0.1,3.4,2.5,12.5,,4.46,,,,,,
2290,Jameer Nelson,2001-02,St. Joseph's,A-10,SO,30.0,30.0,35.5,4.8,11.0,0.438,3.1,6.2,0.497,1.7,4.7,0.359,3.1,4.1,0.762,1.2,3.6,4.8,6.3,1.3,0.0,3.0,2.2,14.4,,3.33,,,,,,
2291,Jameer Nelson,2002-03,St. Joseph's,A-10,JR,30.0,30.0,34.9,6.5,14.8,0.437,4.3,8.5,0.51,2.1,6.3,0.339,4.6,6.0,0.772,1.3,3.8,5.1,4.7,2.2,0.2,2.9,2.1,19.7,,3.71,,,,,,
2292,Jameer Nelson,2003-04,St. Joseph's,A-10,SR,32.0,32.0,33.9,7.3,15.4,0.475,5.0,9.6,0.526,2.3,5.8,0.39,3.7,4.7,0.792,1.0,3.7,4.7,5.3,2.8,0.0,2.8,1.8,20.6,,4.97,,,,,,
2293,Delonte West,2001-02,St. Joseph's,A-10,FR,31.0,2.0,17.0,2.5,5.2,0.469,2.4,4.7,0.51,0.1,0.5,0.118,0.9,1.4,0.667,0.9,2.0,3.0,1.2,0.8,0.1,0.9,1.6,5.9,,3.33,,,,,,
2294,Delonte West,2002-03,St. Joseph's,A-10,SO,26.0,22.0,30.2,6.2,13.2,0.474,4.1,7.5,0.549,2.1,5.7,0.374,2.7,3.3,0.814,1.0,3.3,4.3,3.2,1.6,0.2,2.5,2.2,17.3,,3.71,,,,,,
2295,Delonte West,2003-04,St. Joseph's,A-10,JR,32.0,32.0,33.5,6.6,13.0,0.51,4.9,8.8,0.557,1.8,4.3,0.412,3.9,4.3,0.892,1.2,4.2,5.4,4.7,1.7,0.2,2.6,1.9,18.9,,4.97,,,,,,
2296,Tony Allen,2002-03,Oklahoma State,Big 12,JR,32.0,28.0,31.2,5.1,11.4,0.447,4.2,9.0,0.46,0.9,2.4,0.395,3.3,4.8,0.691,1.6,3.8,5.4,2.7,1.9,0.8,2.8,2.9,14.4,,8.46,,,,,,
2297,Tony Allen,2003-04,Oklahoma State,Big 12,SR,35.0,34.0,31.6,5.8,11.6,0.504,5.2,9.5,0.55,0.6,2.1,0.297,3.7,5.5,0.675,1.8,3.7,5.5,3.1,2.1,0.9,2.8,3.0,16.0,,7.23,,,,,,
2298,Kevin Martin,2001-02,Western Carolina,Southern,FR,28.0,28.0,32.6,7.0,14.5,0.484,4.4,7.6,0.575,2.6,6.8,0.382,5.5,6.6,0.828,1.0,3.8,4.8,1.5,1.8,0.4,2.6,2.0,22.1,,-3.0,,,,,,
2299,Kevin Martin,2002-03,Western Carolina,Southern,SO,24.0,22.0,31.6,6.7,15.8,0.424,4.6,9.2,0.505,2.1,6.7,0.313,7.3,8.2,0.883,1.0,2.8,3.8,1.8,1.4,0.5,3.1,2.5,22.8,,-4.38,,,,,,
2300,Kevin Martin,2003-04,Western Carolina,Southern,JR,27.0,27.0,31.2,7.7,16.3,0.474,5.8,10.6,0.547,1.9,5.6,0.336,7.6,9.3,0.817,0.9,3.9,4.8,1.7,1.9,0.3,3.1,1.9,24.9,,-3.84,,,,,,
2301,David Harrison,2001-02,Colorado,Big 12,FR,27.0,23.0,24.3,5.1,8.1,0.638,5.1,8.1,0.638,0.0,0.0,,3.6,6.4,0.561,3.4,3.6,7.0,0.4,0.6,1.3,2.3,3.5,13.9,,4.99,,,,,,
2302,David Harrison,2002-03,Colorado,Big 12,SO,32.0,31.0,28.4,5.1,9.4,0.547,5.1,9.4,0.547,0.0,0.0,,3.7,6.5,0.563,3.2,5.1,8.3,0.5,0.7,3.3,2.3,3.5,13.9,,8.01,,,,,,
2303,David Harrison,2003-04,Colorado,Big 12,JR,29.0,28.0,31.6,6.4,10.2,0.631,6.4,10.1,0.633,0.0,0.0,0.0,4.3,8.0,0.539,3.7,5.0,8.8,0.9,0.6,2.9,2.7,3.2,17.1,,7.18,,,,,,
2304,Jackson Vroman,2002-03,Iowa State,Big 12,JR,31.0,31.0,30.5,5.0,9.1,0.552,5.0,8.9,0.564,0.0,0.2,0.0,2.5,4.9,0.516,2.6,6.8,9.4,1.8,1.0,1.5,2.5,3.7,12.5,,6.05,,,,,,
2305,Jackson Vroman,2003-04,Iowa State,Big 12,SR,32.0,31.0,30.7,5.8,10.3,0.564,5.8,10.1,0.573,0.0,0.2,0.143,2.3,4.4,0.507,3.7,5.9,9.6,2.3,1.4,0.7,3.2,3.5,13.9,,8.06,,,,,,
2306,Lionel Chalmers,2000-01,Xavier,A-10,FR,29.0,8.0,25.3,2.9,8.0,0.365,1.6,3.7,0.439,1.3,4.3,0.302,1.8,2.6,0.671,0.4,1.7,2.2,1.9,1.3,0.1,2.1,1.8,8.9,,4.6,,,,,,
2307,Lionel Chalmers,2001-02,Xavier,A-10,SO,32.0,32.0,34.1,3.9,9.3,0.421,2.4,5.1,0.479,1.5,4.2,0.351,2.7,3.8,0.719,0.5,2.9,3.4,4.2,1.5,0.1,3.3,2.4,12.0,,4.1,,,,,,
2308,Lionel Chalmers,2002-03,Xavier,A-10,JR,25.0,22.0,31.2,3.9,8.8,0.443,2.0,3.8,0.51,2.0,5.0,0.392,2.2,2.8,0.771,0.6,2.0,2.7,4.0,1.1,0.0,2.6,2.3,12.0,,4.62,,,,,,
2309,Lionel Chalmers,2003-04,Xavier,A-10,SR,37.0,37.0,34.9,5.5,12.3,0.449,2.8,5.6,0.498,2.7,6.7,0.409,2.8,4.0,0.709,0.5,2.8,3.3,3.2,1.1,0.0,2.8,2.1,16.6,,5.84,,,,,,
2310,Andre Emmett,2000-01,Texas Tech,Big 12,FR,28.0,0.0,20.5,3.0,7.5,0.395,2.3,5.3,0.439,0.6,2.2,0.29,1.1,1.8,0.633,1.5,2.1,3.6,1.0,0.6,0.1,1.4,0.9,7.7,,5.49,,,,,,
2311,Andre Emmett,2001-02,Texas Tech,Big 12,SO,32.0,31.0,32.8,7.6,14.6,0.519,7.3,13.7,0.532,0.3,0.9,0.321,3.3,4.9,0.675,2.4,4.2,6.6,1.5,1.3,0.4,1.9,1.5,18.7,,7.22,,,,,,
2312,Andre Emmett,2002-03,Texas Tech,Big 12,JR,34.0,33.0,37.0,8.7,17.5,0.499,8.4,16.4,0.513,0.3,1.1,0.289,4.0,5.6,0.712,2.3,4.4,6.6,1.9,1.9,0.5,2.1,1.5,21.8,,8.29,,,,,,
2313,Andre Emmett,2003-04,Texas Tech,Big 12,SR,34.0,33.0,37.0,7.6,14.5,0.526,7.2,13.2,0.543,0.5,1.3,0.356,4.9,6.6,0.73,2.0,4.6,6.6,1.8,1.3,0.3,2.1,1.4,20.6,,8.21,,,,,,
2314,Antonio Burks,2001-02,Memphis,CUSA,SO,36.0,33.0,30.2,3.3,7.2,0.453,3.1,6.8,0.459,0.1,0.3,0.333,1.8,2.6,0.695,0.6,1.8,2.4,5.1,2.0,0.1,2.2,2.5,8.4,,4.72,,,,,,
2315,Antonio Burks,2002-03,Memphis,CUSA,JR,25.0,17.0,26.8,3.9,8.2,0.478,3.8,7.9,0.485,0.1,0.3,0.286,1.8,2.5,0.714,0.2,1.9,2.0,5.6,1.4,0.2,2.1,2.0,9.7,,5.27,,,,,,
2316,Antonio Burks,2003-04,Memphis,CUSA,SR,30.0,30.0,34.3,5.9,12.4,0.474,4.0,7.8,0.511,1.9,4.6,0.413,2.4,3.8,0.632,0.5,2.7,3.2,5.5,2.4,0.2,2.5,2.3,16.0,,5.96,,,,,,
2317,Royal Ivey,2000-01,Texas,Big 12,FR,33.0,26.0,15.8,0.9,2.6,0.365,0.8,2.2,0.384,0.1,0.4,0.25,0.9,1.3,0.659,0.3,1.3,1.6,1.7,0.7,0.2,1.3,2.2,2.8,,8.89,,,,,,
2318,Royal Ivey,2001-02,Texas,Big 12,SO,34.0,34.0,28.3,3.9,8.2,0.475,3.1,6.2,0.507,0.8,2.0,0.377,2.3,2.9,0.78,1.8,1.8,3.5,1.4,0.8,0.2,1.6,3.1,10.9,,9.98,,,,,,
2319,Royal Ivey,2002-03,Texas,Big 12,JR,33.0,33.0,25.0,2.8,5.9,0.474,2.4,4.5,0.537,0.4,1.4,0.267,2.0,2.5,0.774,1.2,1.8,3.0,1.6,0.9,0.1,1.3,2.8,7.9,,9.28,,,,,,
2320,Royal Ivey,2003-04,Texas,Big 12,SR,33.0,33.0,29.7,3.4,7.5,0.448,3.0,6.6,0.456,0.4,0.9,0.387,2.3,3.7,0.626,1.3,2.8,4.0,4.3,1.2,0.2,1.5,2.5,9.4,,8.4,,,,,,
2321,Chris Duhon,2000-01,Duke,ACC,FR,39.0,10.0,27.8,2.4,5.6,0.424,1.2,2.4,0.505,1.1,3.1,0.361,1.3,2.1,0.65,1.0,2.2,3.2,4.5,2.0,0.0,1.6,1.7,7.2,,11.98,,,,,,
2322,Chris Duhon,2001-02,Duke,ACC,SO,35.0,34.0,35.1,2.9,7.0,0.41,1.3,2.4,0.541,1.5,4.5,0.34,1.7,2.4,0.711,0.5,2.6,3.1,5.9,2.3,0.1,2.6,1.9,8.9,,9.16,,,,,,
2323,Chris Duhon,2002-03,Duke,ACC,JR,33.0,32.0,36.0,3.1,8.0,0.386,2.0,4.1,0.493,1.1,3.9,0.273,2.0,2.9,0.688,0.7,2.5,3.2,6.4,1.9,0.2,3.0,1.8,9.2,,8.37,,,,,,
2324,Chris Duhon,2003-04,Duke,ACC,SR,37.0,37.0,35.4,3.7,8.3,0.448,2.9,5.7,0.514,0.8,2.6,0.302,1.8,2.4,0.722,0.8,3.2,4.1,6.1,2.2,0.2,2.8,2.1,10.0,,10.86,,,,,,
2325,Justin Reed,2000-01,Ole Miss,SEC,FR,35.0,32.0,24.6,4.6,9.6,0.478,4.5,8.9,0.503,0.1,0.7,0.13,1.8,3.2,0.549,2.5,3.3,5.9,0.8,1.3,0.7,2.3,3.0,11.0,,9.24,,,,,,
2326,Justin Reed,2001-02,Ole Miss,SEC,SO,31.0,29.0,28.1,5.4,11.2,0.48,5.1,10.3,0.498,0.3,0.9,0.276,3.6,4.5,0.787,2.5,4.1,6.6,1.1,0.8,0.5,2.1,3.3,14.6,,6.86,,,,,,
2327,Justin Reed,2002-03,Ole Miss,SEC,JR,28.0,26.0,29.5,5.7,11.6,0.488,5.0,10.0,0.498,0.7,1.7,0.426,3.3,4.5,0.73,1.7,3.6,5.3,1.1,1.3,1.0,2.3,3.4,15.4,,6.25,,,,,,
2328,Justin Reed,2003-04,Ole Miss,SEC,SR,28.0,27.0,33.5,6.9,14.9,0.464,6.4,12.8,0.501,0.5,2.1,0.237,4.2,5.7,0.731,2.8,4.7,7.5,1.5,0.7,0.8,3.0,3.1,18.5,,6.36,,,,,,
2329,David Young,2000-01,Xavier,A-10,SO,26.0,0.0,7.0,0.9,2.4,0.371,0.5,1.2,0.419,0.4,1.2,0.323,0.4,0.8,0.455,0.5,0.7,1.1,0.2,0.3,0.0,0.5,0.8,2.5,,4.6,,,,,,
2330,David Young,2001-02,Xavier,A-10,JR,30.0,30.0,25.5,2.6,6.5,0.397,1.9,4.0,0.467,0.7,2.5,0.284,2.2,3.1,0.699,1.7,1.9,3.6,1.2,0.8,0.2,1.4,2.1,8.0,,4.1,,,,,,
2331,David Young,2002-03,Xavier,A-10,SR,10.0,2.0,15.2,1.8,5.3,0.34,1.1,2.4,0.458,0.7,2.9,0.241,0.8,1.4,0.571,1.1,1.2,2.3,0.4,0.7,0.0,0.4,1.3,5.1,,4.62,,,,,,
2332,Trevor Ariza,2003-04,UCLA,Pac-10,FR,25.0,23.0,31.6,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.237,2.3,4.5,0.504,2.4,4.0,6.5,2.1,1.7,0.4,3.2,2.8,11.6,,6.82,,,,,,
2333,Tim Pickett,2002-03,Florida State,ACC,JR,29.0,29.0,33.1,5.8,15.1,0.382,2.9,6.1,0.466,2.9,8.9,0.324,2.7,3.1,0.865,1.1,4.6,5.7,2.1,2.8,0.3,2.1,3.0,17.1,,7.75,,,,,,
2334,Tim Pickett,2003-04,Florida State,ACC,SR,33.0,33.0,29.8,5.6,12.9,0.434,2.3,4.7,0.481,3.3,8.2,0.407,1.9,2.5,0.759,1.0,3.5,4.5,2.1,2.5,0.4,2.4,2.5,16.5,,8.31,,,,,,
2335,Bernard Robinson,2000-01,Michigan,Big Ten,FR,28.0,22.0,29.0,5.1,10.9,0.467,4.1,8.1,0.509,1.0,2.8,0.346,3.3,4.1,0.802,1.4,3.5,4.9,2.3,1.2,0.1,3.3,2.4,14.4,,11.39,,,,,,
2336,Bernard Robinson,2001-02,Michigan,Big Ten,SO,29.0,20.0,28.4,4.6,11.3,0.409,4.2,9.6,0.437,0.4,1.7,0.245,2.4,2.9,0.855,1.4,3.2,4.6,2.4,1.2,0.5,2.2,2.7,12.1,,8.18,,,,,,
2337,Bernard Robinson,2002-03,Michigan,Big Ten,JR,29.0,29.0,32.2,4.3,9.4,0.456,3.8,8.1,0.472,0.4,1.3,0.351,2.7,3.2,0.848,1.5,4.6,6.1,3.4,1.3,0.7,3.5,2.7,11.7,,7.88,,,,,,
2338,Bernard Robinson,2003-04,Michigan,Big Ten,SR,34.0,33.0,32.2,4.4,10.2,0.432,3.9,8.2,0.477,0.5,2.0,0.25,2.8,3.6,0.77,1.1,4.6,5.7,3.8,1.9,0.3,2.7,2.5,12.1,,6.17,,,,,,
2339,Pape Sow,2001-02,Cal State Fullerton,Big West,SO,26.0,26.0,33.3,5.3,12.7,0.421,5.1,11.5,0.446,0.2,1.2,0.188,4.5,7.0,0.648,2.6,6.0,8.6,0.7,1.3,1.2,2.2,3.6,15.5,,-1.06,,,,,,
2340,Pape Sow,2002-03,Cal State Fullerton,Big West,JR,18.0,16.0,31.4,4.6,8.9,0.513,4.2,8.2,0.514,0.3,0.7,0.5,4.4,6.4,0.681,2.8,6.1,8.8,0.7,1.4,0.7,2.5,3.5,13.8,,-2.99,,,,,,
2341,Pape Sow,2003-04,Cal State Fullerton,Big West,SR,28.0,28.0,32.2,5.7,11.6,0.494,5.4,10.7,0.507,0.3,0.9,0.333,5.6,8.3,0.675,3.1,6.6,9.7,0.9,1.6,0.6,3.0,3.6,17.3,,-0.81,,,,,,
2342,Ricky Minard,2000-01,Morehead State,OVC,FR,27.0,27.0,31.4,5.7,11.6,0.494,3.4,5.8,0.586,2.3,5.7,0.4,3.0,3.8,0.786,1.5,3.3,4.8,2.1,1.8,0.4,2.4,2.8,16.7,,-4.19,,,,,,
2343,Ricky Minard,2001-02,Morehead State,OVC,SO,29.0,29.0,35.6,7.8,15.8,0.496,5.6,10.0,0.557,2.2,5.8,0.389,4.4,5.6,0.784,1.8,5.1,6.9,3.3,2.5,1.0,3.0,3.1,22.3,,-3.12,,,,,,
2344,Ricky Minard,2002-03,Morehead State,OVC,JR,29.0,28.0,31.3,7.8,15.0,0.516,5.9,10.0,0.592,1.9,5.1,0.367,5.1,6.1,0.837,1.5,4.8,6.2,4.0,2.2,0.6,3.1,2.7,22.5,,-4.0,,,,,,
2345,Ricky Minard,2003-04,Morehead State,OVC,SR,29.0,28.0,34.3,7.2,16.1,0.451,5.7,11.3,0.503,1.6,4.8,0.326,5.7,7.4,0.776,1.5,5.8,7.3,5.1,2.1,0.5,3.7,2.5,21.8,,-2.9,,,,,,
2346,Christian Drejer,2002-03,Florida,SEC,FR,18.0,0.0,15.4,1.0,2.4,0.409,0.7,1.4,0.462,0.3,1.0,0.333,1.3,1.6,0.793,0.3,1.3,1.6,2.4,0.4,0.0,0.8,1.6,3.6,,7.76,,,,,,
